userID,hotelID,ratings,flag,City
1,1,4,F,Hurghada
1,2,5,F,Hurghada
1,3,5,F,Hurghada
1,4,5,F,Hurghada
1,5,5,F,Hurghada
1,6,4,F,Hurghada
1,7,5,F,Hurghada
1,8,5,F,Hurghada
1,9,4,F,Hurghada
1,10,5,F,Hurghada
1,11,4,F,Hurghada
1,12,5,F,Hurghada
1,13,5,F,Hurghada
1,14,5,F,Hurghada
1,15,4,F,Hurghada
1,16,4,F,Hurghada
1,17,5,F,Hurghada
1,18,4,F,Hurghada
1,19,5,F,Hurghada
1,20,5,F,Hurghada
1,21,4,F,Hurghada
1,22,4,F,Hurghada
1,23,5,F,Hurghada
1,24,5,F,Hurghada
1,25,4,F,Hurghada
1,26,4,F,Hurghada
1,27,3,F,Hurghada
1,28,2,F,Hurghada
1,29,5,F,Hurghada
1,30,5,F,Hurghada
1,31,4,F,Hurghada
1,32,5,F,Hurghada
1,33,4,F,Hurghada
1,34,5,F,Hurghada
1,35,3,F,Hurghada
1,36,4,F,Hurghada
1,37,4,F,Hurghada
1,38,5,F,Hurghada
1,39,3,F,Hurghada
1,40,3,F,Hurghada
1,41,5,F,Hurghada
1,42,5,F,Hurghada
1,43,4,F,Hurghada
1,44,4,F,Hurghada
1,45,5,F,Hurghada
1,46,4,F,Hurghada
1,47,5,F,Hurghada
1,48,5,F,Hurghada
1,49,4,F,Hurghada
1,50,4,F,Hurghada
1,51,4,F,Hurghada
1,52,4,F,Hurghada
1,53,3,F,Hurghada
1,54,5,F,Hurghada
1,55,5,F,Hurghada
1,56,3,F,Hurghada
1,57,5,F,Hurghada
1,58,5,F,Hurghada
1,59,5,F,Hurghada
1,60,5,F,Hurghada
1,61,4,F,Hurghada
1,62,5,F,Hurghada
1,63,3,F,Hurghada
1,64,4,F,Hurghada
1,65,4,F,Hurghada
1,66,5,F,Hurghada
1,67,3,F,Hurghada
1,68,5,F,Hurghada
1,69,5,F,Hurghada
1,70,4,F,Hurghada
1,71,5,F,Hurghada
1,72,4,F,Hurghada
1,73,5,F,Hurghada
1,74,5,F,Hurghada
1,75,4,F,Hurghada
1,76,5,F,Hurghada
1,77,4,F,Hurghada
1,78,3,F,Hurghada
1,79,3,F,Hurghada
1,80,4,F,Hurghada
1,81,3,F,Hurghada
1,82,4,F,Hurghada
1,83,3,F,Hurghada
1,84,5,F,Hurghada
1,85,4,F,Hurghada
1,86,5,F,Hurghada
1,87,5,F,Hurghada
1,88,5,F,Hurghada
1,89,4,F,Hurghada
1,90,5,F,Hurghada
1,91,4,F,Hurghada
1,92,5,F,Hurghada
1,93,3,F,Hurghada
1,94,2,F,Hurghada
1,95,3,F,Hurghada
1,97,4,F,Hurghada
1,98,4,F,Hurghada
1,99,3,F,Hurghada
1,100,5,F,Hurghada
1,101,5,F,Hurghada
1,102,4,F,Hurghada
1,103,5,F,Hurghada
1,104,3,F,Hurghada
1,105,2,F,Hurghada
1,106,5,F,Hurghada
1,107,2,F,Hurghada
1,108,3,F,Hurghada
1,109,4,F,Hurghada
1,110,2,F,Hurghada
1,111,4,F,Hurghada
1,112,4,F,Hurghada
1,113,4,F,Hurghada
1,114,2,F,Hurghada
1,115,4,F,Hurghada
1,116,3,F,Hurghada
1,117,3,F,Hurghada
1,118,2,F,Hurghada
1,119,5,F,Hurghada
1,120,4,F,Hurghada
1,121,5,F,Hurghada
1,122,4,F,Hurghada
1,123,3,F,Hurghada
1,124,4,F,Hurghada
1,125,4,F,Hurghada
1,126,5,F,Alexandria
1,127,5,F,Alexandria
1,128,4,F,Alexandria
1,129,3,F,Alexandria
1,130,4,F,Alexandria
1,131,5,F,Alexandria
1,132,5,F,Alexandria
1,133,4,F,Alexandria
1,134,5,F,Alexandria
1,135,5,F,Alexandria
1,136,4,F,Alexandria
1,137,4,F,Alexandria
1,139,3,F,Alexandria
1,140,1,F,Alexandria
1,141,3,F,Alexandria
1,142,5,F,Alexandria
1,143,5,F,Alexandria
1,144,1,F,Alexandria
1,145,1,F,Alexandria
1,146,5,F,Alexandria
1,147,4,F,Alexandria
1,149,5,F,Alexandria
1,150,1,F,Alexandria
1,152,2,F,Alexandria
1,153,1,F,Alexandria
1,154,5,F,Alexandria
1,155,2,F,Alexandria
1,156,4,F,Alexandria
1,157,3,F,Alexandria
1,158,2,F,Alexandria
1,159,4,F,Alexandria
1,161,1,F,Alexandria
1,162,2,F,Alexandria
1,163,2,F,Alexandria
1,164,5,F,Alexandria
1,165,3,F,Alexandria
1,167,4,F,Alexandria
1,168,5,F,Alexandria
1,169,2,F,Alexandria
1,172,2,F,Alexandria
1,174,4,F,Alexandria
1,176,1,F,Alexandria
1,177,2,F,Alexandria
1,179,1,F,Alexandria
1,181,1,F,Alexandria
1,182,1,F,Alexandria
1,189,4,F,Alexandria
1,190,1,F,Alexandria
1,191,1,F,Alexandria
1,192,1,F,Alexandria
1,197,2,F,Alexandria
1,200,1,F,Alexandria
1,203,2,F,Alexandria
1,204,3,F,Alexandria
1,216,5,F,Alexandria
1,217,2,F,Alexandria
1,229,1,F,Alexandria
1,237,2,F,Alexandria
1,238,1,F,Alexandria
1,242,3,F,Alexandria
1,246,2,F,Alexandria
1,253,2,F,Alexandria
1,261,1,F,Alexandria
1,291,5,F,Cairo
1,292,5,F,Cairo
1,293,5,F,Cairo
1,294,5,F,Cairo
1,295,5,F,Cairo
1,296,5,F,Cairo
1,297,5,F,Cairo
1,298,4,F,Cairo
1,299,5,F,Cairo
1,300,5,F,Cairo
1,301,5,F,Cairo
1,302,5,F,Cairo
1,303,5,F,Cairo
1,304,5,F,Cairo
