user_id,attraction_id,ratings,flag,city
1,5,5,F,cairo
1,12,5,F,cairo
1,20,5,F,cairo
1,22,5,F,cairo
1,24,5,F,cairo
1,27,5,F,cairo
1,29,5,F,cairo
1,31,5,F,cairo
1,34,5,F,giza
1,38,5,F,giza
1,40,5,F,giza
1,42,5,F,giza
1,59,5,F,cairo
1,74,5,F,cairo
1,79,5,F,giza
1,134,5,F,cairo
1,142,5,F,cairo
1,153,5,F,cairo
1,168,5,F,cairo
1,177,5,F,cairo
1,178,5,F,cairo
1,180,5,F,cairo
1,182,5,F,cairo
1,184,5,F,cairo
1,186,5,F,cairo
1,193,5,F,cairo
1,205,5,F,cairo
1,211,5,F,giza
1,214,5,F,cairo
1,215,5,F,cairo
1,218,5,F,cairo
1,221,5,F,giza
1,224,5,F,cairo
1,228,5,F,cairo
1,231,5,F,giza
1,236,5,F,cairo
1,239,5,F,cairo
1,240,5,F,giza
1,241,5,F,giza
1,242,5,F,giza
1,246,5,F,giza
1,250,5,F,cairo
1,251,5,F,cairo
1,253,5,F,giza
1,274,5,F,sharm el sheikh
1,290,5,F,luxor
1,292,5,F,luxor
1,293,5,F,luxor
1,294,5,F,luxor
1,295,5,F,luxor
1,296,5,F,luxor
1,297,5,F,luxor
1,299,5,F,luxor
1,302,5,F,luxor
1,304,5,F,luxor
1,305,5,F,luxor
1,307,5,F,luxor
1,308,5,F,luxor
1,309,5,F,luxor
1,310,5,F,luxor
1,311,5,F,luxor
1,312,5,F,luxor
1,314,5,F,luxor
1,315,5,F,luxor
1,316,5,F,luxor
1,320,5,F,luxor
1,326,5,F,fayoum
1,330,5,F,fayoum
1,333,5,F,alexandria
1,335,5,F,alexandria
1,363,5,F,alexandria
1,364,5,F,alexandria
1,368,5,F,alexandria
1,373,5,F,alexandria
1,396,5,F,alexandria
1,429,5,F,hurghada
1,431,5,F,hurghada
2,11,5,F,cairo
2,14,5,F,cairo
2,16,5,F,cairo
2,17,5,F,cairo
2,18,5,F,cairo
2,21,5,F,cairo
